

酒店测试频道,#genre#


凤凰中文,http://124.236.64.76/playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰中文,http://124.236.64.142/playtv-live.ifeng.com/live/06OLEGEGM4G.flv


凤凰资讯,http://124.236.64.76/playtv-live.ifeng.com/live/06OLEEWQKN4.flv

凤凰资讯,http://124.236.64.142/playtv-live.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,http://120.84.96.109:808/hls/28/index.m3u8
凤凰资讯,http://120.84.96.33:808/hls/28/index.m3u8
凤凰资讯,http://120.84.96.103:808/hls/28/index.m3u8
凤凰香港,http://120.84.96.109:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.103:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.33:808/hls/81/index.m3u8
凤凰中文,http://120.84.96.109:808/hls/29/index.m3u8
凤凰中文,http://120.84.96.33:808/hls/29/index.m3u8
凤凰中文,http://120.84.96.103:808/hls/29/index.m3u8
翡翠财经,http://120.84.96.103:808/hls/86/index.m3u8
翡翠财经,http://120.84.96.33:808/hls/86/index.m3u8
翡翠财经,http://120.84.96.109:808/hls/86/index.m3u8
广东珠江,http://157.122.177.10:9901/tsfile/live/1007_1.m3u8

潮州生活,http://hdl-czbtv-gb.sobeylive.com/czbtv2019/czggpd.flv
梅州综合,http://p2.weizan.cn/slowlive/403126774572750089/live.m3u8
梅州生活,http://p2.weizan.cn/slowlive/645350022315428297/live.m3u8

翡翠明珠台,http://59.32.98.74:9901/tsfile/live/1014_1.m3u8
翡翠台,http://59.32.98.74:9901/tsfile/live/1029_1.m3u8

客家生活,http://59.32.98.74:9901/tsfile/live/1026_1.m3u8

梅州-1,http://59.32.98.74:9901/tsfile/live/1025_1.m3u8

cctv1,http://120.84.96.33:808/hls/1/index.m3u8
cctv1,http://120.84.96.33:808/hls/101/index.m3u8
cctv1,http://120.84.96.103:808/hls/1/index.m3u8
cctv1,http://120.84.96.103:808/hls/101/index.m3u8
cctv1,http://120.84.96.109:808/hls/1/index.m3u8
cctv1,http://120.84.96.109:808/hls/101/index.m3u8
cctv2,http://120.84.96.109:808/hls/102/index.m3u8
cctv2,http://120.84.96.103:808/hls/102/index.m3u8
cctv2,http://120.84.96.33:808/hls/102/index.m3u8
cctv3,http://120.84.96.33:808/hls/103/index.m3u8
cctv3,http://120.84.96.33:808/hls/3/index.m3u8
cctv3,http://120.84.96.103:808/hls/103/index.m3u8
cctv3,http://120.84.96.103:808/hls/3/index.m3u8
cctv3,http://120.84.96.109:808/hls/103/index.m3u8
cctv3,http://120.84.96.109:808/hls/3/index.m3u8
cctv4,http://120.84.96.109:808/hls/4/index.m3u8
cctv4,http://120.84.96.103:808/hls/4/index.m3u8
cctv4,http://120.84.96.33:808/hls/4/index.m3u8
cctv5,http://120.84.96.33:808/hls/5/index.m3u8
cctv5,http://120.84.96.103:808/hls/5/index.m3u8
cctv5,http://120.84.96.109:808/hls/5/index.m3u8
cctv5+,http://120.84.96.109:808/hls/116/index.m3u8
cctv5+,http://120.84.96.109:808/hls/30/index.m3u8
cctv5+,http://120.84.96.33:808/hls/116/index.m3u8
